# onion skin A3d strip probe
# comp	1920	1080
ms	pw	ph	x0	x1	y0	y1	span_w	span_h	zoom_x	zoom_y	axis_diff_pct	cost_ms	status	win_ok	wx0	wy0	dx	dy	win_cost_ms
0.1	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	20.9069	ok	0	0	0	-9999	-9999	0.0000
44.5	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	22.3294	ok	0	0	0	-9999	-9999	0.0000
91.8	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	25.1956	ok	0	0	0	-9999	-9999	0.0000
139.1	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	11.8610	ok	0	0	0	-9999	-9999	0.0000
169.8	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	13.6878	ok	0	0	0	-9999	-9999	0.0000
200.9	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	15.5754	ok	0	0	0	-9999	-9999	0.0000
233.0	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	17.1182	ok	0	0	0	-9999	-9999	0.0000
279.7	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	20.4288	ok	0	0	0	-9999	-9999	0.0000
326.7	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	23.1735	ok	0	0	0	-9999	-9999	0.0000
372.9	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	27.3532	ok	0	0	0	-9999	-9999	0.0000
420.0	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	13.2495	ok	0	0	0	-9999	-9999	0.0000
451.2	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	15.2468	ok	0	0	0	-9999	-9999	0.0000
482.9	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	17.1787	ok	0	0	0	-9999	-9999	0.0000
528.4	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	21.5433	ok	0	0	0	-9999	-9999	0.0000
575.8	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	24.0025	ok	0	0	0	-9999	-9999	0.0000
622.8	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	28.3122	ok	0	0	0	-9999	-9999	0.0000
669.9	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	13.2619	ok	0	0	0	-9999	-9999	0.0000
700.9	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	15.9000	ok	0	0	0	-9999	-9999	0.0000
733.0	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	17.1135	ok	0	0	0	-9999	-9999	0.0000
781.3	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	18.9824	ok	0	0	0	-9999	-9999	0.0000
828.3	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	21.6639	ok	0	0	0	-9999	-9999	0.0000
873.2	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	26.9114	ok	0	0	0	-9999	-9999	0.0000
