# onion skin A3e capture stream (dedicated thread)
# comp	1920	1080
t_ms	pw	ph	sx	sy	tx	ty	axis_diff_pct	cost_ms	status
5039.005	1592	729	0.500000	0.500000	263.00	101.00	0.000	25.3077	ok
5058.692	1592	729	0.500000	0.500000	263.00	101.00	0.000	14.0467	ok
5074.468	1592	729	0.500000	0.500000	263.00	101.00	0.000	17.4850	ok
5090.792	1592	729	0.500000	0.500000	263.00	101.00	0.000	15.1453	ok
5106.771	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.7941	ok
5123.454	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.5518	ok
5140.406	1592	729	0.500000	0.500000	263.00	101.00	0.000	17.3298	ok
5157.196	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.2272	ok
5173.716	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.7952	ok
5190.424	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.6049	ok
5207.143	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.8125	ok
5223.836	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.5572	ok
5240.605	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.9702	ok
5257.024	1592	729	0.500000	0.500000	263.00	101.00	0.000	15.8494	ok
5273.503	1592	729	0.500000	0.500000	263.00	101.00	0.000	17.0739	ok
5290.306	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.5164	ok
5306.896	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.6432	ok
5323.451	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.4477	ok
5340.179	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.9895	ok
5357.356	1592	729	0.500000	0.500000	263.00	101.00	0.000	17.3467	ok
5373.835	1592	729	0.500000	0.500000	263.00	101.00	0.000	15.5917	ok
5390.831	1592	729	0.500000	0.500000	263.00	101.00	0.000	18.3835	ok
5408.142	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.2204	ok
5424.091	1592	729	0.500000	0.500000	263.00	101.00	0.000	15.6591	ok
5440.204	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.5580	ok
5456.869	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.7438	ok
5473.795	1592	729	0.500000	0.500000	263.00	101.00	0.000	17.0925	ok
5490.472	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.2284	ok
5507.150	1592	729	0.500000	0.500000	263.00	101.00	0.000	17.1096	ok
5524.120	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.8099	ok
5540.679	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.2899	ok
5557.042	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.4162	ok
5574.655	1592	729	0.500000	0.500000	263.00	101.00	0.000	18.7914	ok
5591.954	1592	729	0.500000	0.500000	263.00	101.00	0.000	15.7858	ok
5608.249	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.7873	ok
5625.227	1592	729	0.500000	0.500000	263.00	101.00	0.000	17.1452	ok
5642.137	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.6545	ok
5659.894	1592	729	0.500000	0.500000	263.00	101.00	0.000	18.8417	ok
5676.592	1592	729	0.500000	0.500000	263.00	101.00	0.000	14.5038	ok
5692.090	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.4696	ok
5708.669	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.6708	ok
5725.533	1592	729	0.500000	0.500000	263.00	101.00	0.000	17.0452	ok
5742.230	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.3395	ok
5758.659	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.4991	ok
5775.189	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.5483	ok
5792.452	1592	729	0.500000	0.500000	263.00	101.00	0.000	17.9593	ok
5808.971	1592	729	0.500000	0.500000	263.00	101.00	0.000	15.0575	ok
5825.195	1592	729	0.500000	0.500000	263.00	101.00	0.000	17.3675	ok
5841.818	1592	729	0.500000	0.500000	263.00	101.00	0.000	15.8577	ok
5858.385	1592	729	0.500000	0.500000	263.00	101.00	0.000	17.2594	ok
5875.351	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.6538	ok
5892.505	1592	729	0.500000	0.500000	263.00	101.00	0.000	17.6323	ok
5909.101	1592	729	0.500000	0.500000	263.00	101.00	0.000	15.5400	ok
5925.323	1592	729	0.500000	0.500000	263.00	101.00	0.000	16.8857	ok
