# onion skin A3e paint log
# comp	1920	1080
# stale_ms	100.0
t_ms	src_t_ms	tx	ty	sx	have_stale	stale_t_ms	stale_tx	stale_ty	paint_ms
5053.071	5039.005	263.00	101.00	0.500000	0	-9999.000	-9999.00	-9999.00	2.6590
5084.863	5074.468	263.00	101.00	0.500000	0	-9999.000	-9999.00	-9999.00	1.3641
5100.611	5090.792	263.00	101.00	0.500000	0	-9999.000	-9999.00	-9999.00	1.4105
5131.785	5123.454	263.00	101.00	0.500000	0	-9999.000	-9999.00	-9999.00	1.5136
5147.602	5123.454	263.00	101.00	0.500000	1	5039.005	263.00	101.00	1.6623
5179.806	5157.196	263.00	101.00	0.500000	1	5074.468	263.00	101.00	1.5865
5211.640	5190.424	263.00	101.00	0.500000	1	5106.771	263.00	101.00	1.6979
5227.629	5207.143	263.00	101.00	0.500000	1	5123.454	263.00	101.00	1.5560
5259.487	5240.605	263.00	101.00	0.500000	1	5157.196	263.00	101.00	1.5460
5279.536	5257.024	263.00	101.00	0.500000	1	5173.716	263.00	101.00	1.7388
5301.597	5290.306	263.00	101.00	0.500000	1	5190.424	263.00	101.00	1.4056
5333.071	5323.451	263.00	101.00	0.500000	1	5223.836	263.00	101.00	1.4377
5348.742	5340.179	263.00	101.00	0.500000	1	5240.605	263.00	101.00	1.4224
5381.593	5357.356	263.00	101.00	0.500000	1	5273.503	263.00	101.00	1.4415
5397.568	5373.835	263.00	101.00	0.500000	1	5290.306	263.00	101.00	1.5434
5429.619	5408.142	263.00	101.00	0.500000	1	5323.451	263.00	101.00	1.7357
5461.605	5440.204	263.00	101.00	0.500000	1	5357.356	263.00	101.00	1.8126
5477.660	5456.869	263.00	101.00	0.500000	1	5373.835	263.00	101.00	1.5816
5508.869	5490.472	263.00	101.00	0.500000	1	5408.142	263.00	101.00	1.4638
5520.606	5507.150	263.00	101.00	0.500000	1	5408.142	263.00	101.00	1.7825
5553.871	5540.679	263.00	101.00	0.500000	1	5440.204	263.00	101.00	1.8949
5587.147	5574.655	263.00	101.00	0.500000	1	5473.795	263.00	101.00	2.2437
5604.437	5591.954	263.00	101.00	0.500000	1	5490.472	263.00	101.00	1.5123
5635.813	5625.227	263.00	101.00	0.500000	1	5524.120	263.00	101.00	1.3590
5651.898	5642.137	263.00	101.00	0.500000	1	5540.679	263.00	101.00	1.4679
5683.573	5659.894	263.00	101.00	0.500000	1	5574.655	263.00	101.00	1.5728
5714.753	5692.090	263.00	101.00	0.500000	1	5608.249	263.00	101.00	1.6078
5730.821	5708.669	263.00	101.00	0.500000	1	5625.227	263.00	101.00	1.4390
5762.378	5742.230	263.00	101.00	0.500000	1	5659.894	263.00	101.00	2.1784
5770.636	5758.659	263.00	101.00	0.500000	1	5659.894	263.00	101.00	1.4580
5803.969	5792.452	263.00	101.00	0.500000	1	5692.090	263.00	101.00	1.7833
5837.259	5825.195	263.00	101.00	0.500000	1	5725.533	263.00	101.00	1.6849
5853.899	5841.818	263.00	101.00	0.500000	1	5742.230	263.00	101.00	1.8720
5887.151	5875.351	263.00	101.00	0.500000	1	5775.189	263.00	101.00	1.8634
5903.873	5892.505	263.00	101.00	0.500000	1	5792.452	263.00	101.00	1.6709
5936.194	5925.323	263.00	101.00	0.500000	1	5825.195	263.00	101.00	1.7039
5957.689	5942.127	263.00	101.00	0.500000	1	5841.818	263.00	101.00	1.6987
5983.739	5958.640	263.00	101.00	0.500000	1	5875.351	263.00	101.00	1.4140
6004.614	5992.054	263.00	101.00	0.500000	1	5892.505	263.00	101.00	1.5555
6020.745	6008.674	263.00	101.00	0.500000	1	5909.101	263.00	101.00	1.9707
6052.950	6042.379	263.00	101.00	0.500000	1	5942.127	263.00	101.00	1.7764
6085.512	6075.334	263.00	101.00	0.500000	1	5975.292	263.00	101.00	1.4766
6101.826	6075.334	263.00	101.00	0.500000	1	5992.054	263.00	101.00	1.6605
6132.721	6110.306	263.00	101.00	0.500000	1	6025.546	263.00	101.00	1.6599
6148.855	6126.697	263.00	101.00	0.500000	1	6042.379	263.00	101.00	1.5594
6180.999	6158.961	263.00	101.00	0.500000	1	6075.334	263.00	101.00	1.7365
6212.762	6191.786	263.00	101.00	0.500000	1	6110.306	263.00	101.00	1.5150
6228.848	6208.741	263.00	101.00	0.500000	1	6126.697	263.00	101.00	1.5019
6261.537	6242.388	263.00	101.00	0.500000	1	6158.961	263.00	101.00	1.6172
6276.732	6258.650	263.00	101.00	0.500000	1	6175.176	263.00	101.00	1.7082
6303.887	6292.654	263.00	101.00	0.500000	1	6191.786	263.00	101.00	1.8370
6337.132	6325.402	263.00	101.00	0.500000	1	6225.631	263.00	101.00	1.6884
6357.690	6342.173	263.00	101.00	0.500000	1	6242.388	263.00	101.00	1.7343
6387.188	6375.363	263.00	101.00	0.500000	1	6275.706	263.00	101.00	1.6562
6403.811	6392.459	263.00	101.00	0.500000	1	6292.654	263.00	101.00	1.6475
6436.429	6425.536	263.00	101.00	0.500000	1	6325.402	263.00	101.00	1.4719
6467.433	6458.589	263.00	101.00	0.500000	1	6358.587	263.00	101.00	1.4969
6479.359	6458.589	263.00	101.00	0.500000	1	6375.363	263.00	101.00	1.7513
6515.073	6492.360	263.00	101.00	0.500000	1	6409.254	263.00	101.00	1.5905
6520.577	6508.922	263.00	101.00	0.500000	1	6409.254	263.00	101.00	1.7518
6553.880	6542.509	263.00	101.00	0.500000	1	6442.112	263.00	101.00	1.6391
6587.115	6575.620	263.00	101.00	0.500000	1	6475.473	263.00	101.00	1.7312
6603.812	6592.138	263.00	101.00	0.500000	1	6492.360	263.00	101.00	1.7565
6629.877	6608.835	263.00	101.00	0.500000	1	6525.775	263.00	101.00	1.5357
6645.550	6625.807	263.00	101.00	0.500000	1	6542.509	263.00	101.00	1.6907
6677.452	6659.226	263.00	101.00	0.500000	1	6575.620	263.00	101.00	1.6101
6709.603	6692.087	263.00	101.00	0.500000	1	6608.835	263.00	101.00	1.5902
6724.981	6708.833	263.00	101.00	0.500000	1	6608.835	263.00	101.00	2.3112
6757.647	6742.175	263.00	101.00	0.500000	1	6642.703	263.00	101.00	1.5874
6770.529	6758.855	263.00	101.00	0.500000	1	6659.226	263.00	101.00	1.5961
6803.813	6792.153	263.00	101.00	0.500000	1	6692.087	263.00	101.00	1.5462
6837.130	6825.774	263.00	101.00	0.500000	1	6725.551	263.00	101.00	1.7071
6853.624	6842.095	263.00	101.00	0.500000	1	6742.175	263.00	101.00	1.7519
6884.724	6875.663	263.00	101.00	0.500000	1	6775.496	263.00	101.00	1.4338
6901.569	6892.236	263.00	101.00	0.500000	1	6792.153	263.00	101.00	1.3781
6933.602	6909.611	263.00	101.00	0.500000	1	6825.774	263.00	101.00	1.4991
6964.746	6942.226	263.00	101.00	0.500000	1	6858.827	263.00	101.00	1.5107
6981.763	6958.939	263.00	101.00	0.500000	1	6875.663	263.00	101.00	1.7319
7012.670	6992.877	263.00	101.00	0.500000	1	6909.611	263.00	101.00	1.4611
7028.913	7009.235	263.00	101.00	0.500000	1	6926.170	263.00	101.00	1.5084
7053.832	7042.202	263.00	101.00	0.500000	1	6942.226	263.00	101.00	1.5665
7087.247	7075.364	263.00	101.00	0.500000	1	6975.557	263.00	101.00	2.1927
7103.791	7092.263	263.00	101.00	0.500000	1	6992.877	263.00	101.00	1.6417
7137.117	7125.869	263.00	101.00	0.500000	1	7025.444	263.00	101.00	1.5720
7156.564	7142.315	263.00	101.00	0.500000	1	7042.202	263.00	101.00	1.4616
7187.267	7175.782	263.00	101.00	0.500000	1	7075.364	263.00	101.00	1.6986
7218.604	7208.657	263.00	101.00	0.500000	1	7108.983	263.00	101.00	1.5352
7228.555	7208.657	263.00	101.00	0.500000	1	7125.869	263.00	101.00	1.5135
7263.593	7242.852	263.00	101.00	0.500000	1	7158.935	263.00	101.00	1.5265
7270.525	7259.206	263.00	101.00	0.500000	1	7158.935	263.00	101.00	1.5277
7301.682	7292.203	263.00	101.00	0.500000	1	7192.089	263.00	101.00	1.4181
7332.924	7309.083	263.00	101.00	0.500000	1	7225.829	263.00	101.00	1.5217
