frame	probe_ms	comp_l	green_l	slip	status
840	5039.0	588	590	2	ok
841	5055.7	588	590	2	ok
842	5072.3	588	590	2	ok
843	5089.0	588	590	2	ok
844	5105.7	588	590	2	ok
845	5122.3	588	590	2	ok
846	5139.0	588	590	2	ok
847	5155.7	588	590	2	ok
848	5172.3	588	590	2	ok
849	5189.0	588	590	2	ok
850	5205.7	588	590	2	ok
851	5222.3	588	590	2	ok
852	5239.0	588	590	2	ok
853	5255.7	588	590	2	ok
854	5272.3	588	590	2	ok
855	5289.0	588	590	2	ok
856	5305.7	588	590	2	ok
857	5322.3	588	590	2	ok
858	5339.0	588	590	2	ok
859	5355.7	588	590	2	ok
860	5372.3	588	590	2	ok
861	5389.0	588	590	2	ok
862	5405.7	588	590	2	ok
863	5422.3	588	590	2	ok
864	5439.0	588	590	2	ok
865	5455.7	588	590	2	ok
866	5472.3	588	590	2	ok
867	5489.0	588	590	2	ok
868	5505.7	588	590	2	ok
869	5522.3	588	590	2	ok
870	5539.0	588	590	2	ok
871	5555.7	588	590	2	ok
872	5572.3	588	590	2	ok
873	5589.0	588	590	2	ok
874	5605.7	588	590	2	ok
875	5622.3	588	590	2	ok
876	5639.0	588	590	2	ok
877	5655.7	588	590	2	ok
878	5672.3	588	590	2	ok
879	5689.0	588	590	2	ok
880	5705.7	588	590	2	ok
881	5722.3	588	590	2	ok
882	5739.0	588	590	2	ok
883	5755.7	588	590	2	ok
884	5772.3	588	590	2	ok
885	5789.0	588	590	2	ok
886	5805.7	588	590	2	ok
887	5822.3	588	590	2	ok
888	5839.0	588	590	2	ok
889	5855.7	588	590	2	ok
890	5872.3	588	590	2	ok
891	5889.0	588	590	2	ok
892	5905.7	588	590	2	ok
893	5922.3	588	590	2	ok
894	5939.0	588	590	2	ok
895	5955.7	588	590	2	ok
896	5972.3	588	590	2	ok
897	5989.0	588	590	2	ok
898	6005.7	588	590	2	ok
899	6022.3	588	590	2	ok
900	6039.0	588	590	2	ok
901	6055.7	588	590	2	ok
902	6072.3	588	590	2	ok
903	6089.0	588	590	2	ok
904	6105.7	588	590	2	ok
905	6122.3	588	590	2	ok
906	6139.0	588	590	2	ok
907	6155.7	588	590	2	ok
908	6172.3	588	590	2	ok
909	6189.0	588	590	2	ok
910	6205.7	588	590	2	ok
911	6222.3	588	590	2	ok
912	6239.0	588	590	2	ok
913	6255.7	588	590	2	ok
914	6272.3	588	590	2	ok
915	6289.0	588	590	2	ok
916	6305.7	588	590	2	ok
917	6322.3	588	590	2	ok
918	6339.0	588	590	2	ok
919	6355.7	588	590	2	ok
920	6372.3	588	590	2	ok
921	6389.0	588	590	2	ok
922	6405.7	588	590	2	ok
923	6422.3	588	590	2	ok
924	6439.0	588	590	2	ok
925	6455.7	588	590	2	ok
926	6472.3	588	590	2	ok
927	6489.0	588	590	2	ok
928	6505.7	588	590	2	ok
929	6522.3	588	590	2	ok
930	6539.0	588	590	2	ok
931	6555.7	588	590	2	ok
932	6572.3	588	590	2	ok
933	6589.0	588	590	2	ok
934	6605.7	588	590	2	ok
935	6622.3	588	590	2	ok
